Código,Modelo,Fecha de registro,Fecha Asignado,Fecha Reasignado,Estado,Localización,Fecha de 1era Respuesta,Fecha firma solución,Fecha firma cierre,Tipo
REQ 2021-031703,MXB450P,29/12/21 9:46,29/12/21 9:47,29/12/21 9:50,Cerrada,/SCJN/Bolívar,29/12/21 10:17,29/12/21 10:17,01/01/22 10:17,SCJ
REQ 2021-031566,MXB450P,23/12/21 13:15,23/12/21 13:17,,Cerrada,/SCJN/Edificio Sede,23/12/21 14:24,23/12/21 14:24,26/12/21 14:27,SCJ
INC 2021-031527,MXB450P,21/12/21 9:50,21/12/21 9:52,,Cerrada,/SCJN/Edificio Sede,21/12/21 9:52,21/12/21 12:31,24/12/21 12:32,SCJ
INC 2021-031526,MXB450P,21/12/21 9:49,21/12/21 9:51,,Cerrada,/SCJN/Edificio Sede,21/12/21 9:51,21/12/21 12:32,24/12/21 12:37,SCJ
REQ 2021-031518,MXB450P,20/12/21 15:35,20/12/21 15:36,,Cerrada,/SCJN/Edificio Sede,20/12/21 16:00,20/12/21 16:00,23/12/21 16:02,SCJ
INC 2021-031516,MXB450P,20/12/21 12:51,20/12/21 12:53,,Cerrada,/SCJN/Edificio Sede,20/12/21 12:53,20/12/21 15:23,23/12/21 15:27,SCJ
REQ 2021-031454,MXB450P,16/12/21 12:56,16/12/21 12:57,16/12/21 13:08,Cerrada,/SCJN/Edificio Sede,16/12/21 13:35,16/12/21 13:35,19/12/21 13:37,SCJ
REQ 2021-031444,MXB450P,16/12/21 11:16,16/12/21 11:17,16/12/21 11:38,Cerrada,/SCJN/Edificio Sede,16/12/21 13:01,16/12/21 13:01,19/12/21 13:02,SCJ
REQ 2021-031430,MXB450P,16/12/21 9:51,16/12/21 9:52,17/12/21 10:10,Cerrada,/SCJN/Edificio Sede,17/12/21 10:38,17/12/21 10:38,20/12/21 10:42,SCJ
REQ 2021-031353,MXB450P,15/12/21 14:31,15/12/21 14:32,15/12/21 14:47,Cerrada,/SCJN/Edificio Sede,15/12/21 14:47,29/12/21 14:07,01/01/22 14:07,SCJ
REQ 2021-031324,MXB450P,15/12/21 12:56,15/12/21 12:57,15/12/21 13:47,Cerrada,/SCJN/Bolívar,15/12/21 14:42,15/12/21 14:42,18/12/21 14:47,SCJ
REQ 2021-031298,MXB450P,15/12/21 11:58,15/12/21 12:01,,Cerrada,/SCJN/Bolívar,15/12/21 13:27,15/12/21 13:27,18/12/21 13:32,SCJ
REQ 2021-031249,MXB450P,15/12/21 10:36,15/12/21 10:40,15/12/21 12:01,Cerrada,/SCJN/16 de Septiembre,15/12/21 10:40,15/12/21 15:26,18/12/21 15:27,SCJ
REQ 2021-031233,MXB450P,15/12/21 10:16,15/12/21 10:17,15/12/21 12:09,Cerrada,/SCJN/16 de Septiembre,15/12/21 12:09,15/12/21 15:27,18/12/21 15:27,SCJ
REQ 2021-031229,MXB450P,15/12/21 9:56,15/12/21 9:58,,Cerrada,/SCJN/Edificio Sede,15/12/21 10:42,15/12/21 10:42,18/12/21 10:47,SCJ
REQ 2021-031204,MXB450P,15/12/21 8:01,15/12/21 8:02,15/12/21 10:12,Cerrada,/SCJN/5 de Febrero,15/12/21 10:12,15/12/21 15:52,18/12/21 15:52,SCJ
REQ 2021-031116,MXB450P,14/12/21 12:52,14/12/21 12:54,,Cerrada,/SCJN/Edificio Sede,14/12/21 12:54,14/12/21 15:34,17/12/21 15:37,SCJ
REQ 2021-031113,MXB450P,14/12/21 12:43,14/12/21 12:46,,Cerrada,/SCJN/Almacén de Zaragoza,14/12/21 13:57,15/12/21 9:25,18/12/21 9:27,SCJ
REQ 2021-031103,MXB450P,14/12/21 12:31,14/12/21 12:33,,Cerrada,/SCJN/5 de Febrero,14/12/21 12:36,14/12/21 12:36,17/12/21 12:37,SCJ
REQ 2021-031084,MXB450P,14/12/21 11:44,14/12/21 11:45,,Cerrada,/SCJN/16 de Septiembre,14/12/21 12:22,14/12/21 12:22,17/12/21 12:22,SCJ
INC 2021-031082,MXB450P,14/12/21 11:42,14/12/21 11:43,,Cerrada,/CCJ/Monterrey,14/12/21 11:47,16/12/21 14:35,19/12/21 14:37,CCJ
REQ 2021-031062,MXB450P,14/12/21 10:56,14/12/21 11:00,,Cerrada,/SCJN/16 de Septiembre,14/12/21 11:00,14/12/21 13:05,17/12/21 13:07,SCJ
REQ 2021-031049,MXB450P,14/12/21 10:39,14/12/21 10:40,,Cerrada,/SCJN/Bolívar,14/12/21 11:25,14/12/21 11:25,17/12/21 11:27,SCJ
INC 2021-031045,MXB450P,14/12/21 10:28,14/12/21 10:30,14/12/21 10:35,Cerrada,/CCJ/Mexicali,14/12/21 10:35,14/12/21 13:07,17/12/21 13:12,CCJ
